"Time (s)","Distance (cm)"
2.971041715E-3,5.000000000E0
2.037233347E-2,0.000000000E0
3.146350011E-2,5.000000000E0
1.195281083E0,0.000000000E0
7.045598375E0,5.000000000E0
1.059993067E1,0.000000000E0
1.061658125E1,5.000000000E0
1.170011454E1,0.000000000E0
1.570530396E1,5.000000000E0
1.640441717E1,0.000000000E0
1.738775521E1,5.000000000E0
1.805394625E1,0.000000000E0
2.187075721E1,5.000000000E0
2.887409275E1,0.000000000E0
3.675786250E1,5.000000000E0
3.994286633E1,0.000000000E0
4.267631029E1,5.000000000E0
4.324143954E1,0.000000000E0
4.357490092E1,5.000000000E0
4.602503983E1,0.000000000E0
5.089190983E1,5.000000000E0